DATE,USD3MTD156N
2012-09-10,0.40425
2012-09-11,0.39875
2012-09-12,0.39425
2012-09-13,0.38875
2012-09-14,0.38525
2012-09-17,0.38075
2012-09-18,0.37875
2012-09-19,0.37575
2012-09-20,0.37300
2012-09-21,0.36925
2012-09-24,0.36725
2012-09-25,0.36350
2012-09-26,0.36225
2012-09-27,0.36025
2012-09-28,0.35850
2012-10-01,0.35525
2012-10-02,0.35400
2012-10-03,0.35250
2012-10-04,0.35225
2012-10-05,0.35125
2012-10-08,0.35025
2012-10-09,0.34675
2012-10-10,0.34275
2012-10-11,0.34025
2012-10-12,0.33425
2012-10-15,0.33025
2012-10-16,0.32475
2012-10-17,0.32075
2012-10-18,0.31875
2012-10-19,0.31725
2012-10-22,0.31575
2012-10-23,0.31525
2012-10-24,0.31425
2012-10-25,0.31325
2012-10-26,0.31325
2012-10-29,0.31275
2012-10-30,0.31275
2012-10-31,0.31275
2012-11-01,0.31275
2012-11-02,0.31275
2012-11-05,0.31175
2012-11-06,0.31175
2012-11-07,0.31000
2012-11-08,0.31000
2012-11-09,0.31000
2012-11-12,0.31000
2012-11-13,0.31000
2012-11-14,0.31000
2012-11-15,0.31100
2012-11-16,0.31150
2012-11-19,0.31150
2012-11-20,0.31050
2012-11-21,0.31150
2012-11-22,0.31150
2012-11-23,0.31150
2012-11-26,0.31150
2012-11-27,0.31150
2012-11-28,0.31050
2012-11-29,0.31050
2012-11-30,0.31050
2012-12-03,0.31050
2012-12-04,0.31050
2012-12-05,0.31050
2012-12-06,0.31050
2012-12-07,0.30950
2012-12-10,0.31050
2012-12-11,0.30950
2012-12-12,0.30950
2012-12-13,0.30800
2012-12-14,0.30800
2012-12-17,0.30900
2012-12-18,0.30900
2012-12-19,0.31000
2012-12-20,0.31000
2012-12-21,0.31000
2012-12-24,0.31000
2012-12-25,.
2012-12-26,.
2012-12-27,0.31100
2012-12-28,0.30800
2012-12-31,0.30600
2013-01-01,.
2013-01-02,0.30500
2013-01-03,0.30500
2013-01-04,0.30500
2013-01-07,0.30500
2013-01-08,0.30500
2013-01-09,0.30500
2013-01-10,0.30500
2013-01-11,0.30400
2013-01-14,0.30400
2013-01-15,0.30300
2013-01-16,0.30300
2013-01-17,0.30200
2013-01-18,0.30200
2013-01-21,0.30200
2013-01-22,0.30200
2013-01-23,0.30100
2013-01-24,0.30050
2013-01-25,0.30050
2013-01-28,0.30150
2013-01-29,0.30050
2013-01-30,0.29850
2013-01-31,0.29800
2013-02-01,0.29550
2013-02-04,0.29550
2013-02-05,0.29550
2013-02-06,0.29300
2013-02-07,0.29200
2013-02-08,0.29200
2013-02-11,0.29310
2013-02-12,0.29210
2013-02-13,0.29010
2013-02-14,0.29010
2013-02-15,0.29010
2013-02-18,0.28910
2013-02-19,0.28910
2013-02-20,0.28910
2013-02-21,0.28810
2013-02-22,0.28810
2013-02-25,0.28660
2013-02-26,0.28660
2013-02-27,0.28710
2013-02-28,0.28710
2013-03-01,0.28410
2013-03-04,0.28310
2013-03-05,0.28110
2013-03-06,0.27960
2013-03-07,0.28060
2013-03-08,0.28010
2013-03-11,0.28010
2013-03-12,0.28110
2013-03-13,0.28010
2013-03-14,0.28010
2013-03-15,0.28010
2013-03-18,0.28010
2013-03-19,0.28210
2013-03-20,0.28410
2013-03-21,0.28410
2013-03-22,0.28460
2013-03-25,0.28310
2013-03-26,0.28360
2013-03-27,0.28360
2013-03-28,0.28260
2013-03-29,.
2013-04-01,.
2013-04-02,0.28210
2013-04-03,0.28110
2013-04-04,0.28040
2013-04-05,0.27940
2013-04-08,0.27940
2013-04-09,0.27810
2013-04-10,0.27710
2013-04-11,0.27710
2013-04-12,0.27760
2013-04-15,0.27760
2013-04-16,0.27710
2013-04-17,0.27610
2013-04-18,0.27610
2013-04-19,0.27610
2013-04-22,0.27510
2013-04-23,0.27560
2013-04-24,0.27560
2013-04-25,0.27560
2013-04-26,0.27560
2013-04-29,0.27410
2013-04-30,0.27310
2013-05-01,0.27310
2013-05-02,0.27310
2013-05-03,0.27510
2013-05-06,.
2013-05-07,0.27510
2013-05-08,0.27510
2013-05-09,0.27510
2013-05-10,0.27510
2013-05-13,0.27510
